Date,Close
3/17/2017,77.2
3/20/2017,77.45
3/21/2017,77.1
3/22/2017,76.95
3/23/2017,77.4
3/24/2017,77.2
3/27/2017,77.4
3/28/2017,77.05
3/29/2017,77.6
3/30/2017,77.3
3/31/2017,76.85
4/3/2017,76.75
4/4/2017,76.75
4/5/2017,76.5
4/6/2017,76.6
4/7/2017,76.8
4/10/2017,75.6
4/11/2017,75.8
4/12/2017,76.65
4/13/2017,76.4
4/18/2017,75.9
4/19/2017,75.2
4/20/2017,75.6
4/21/2017,75.7
4/24/2017,77.3
4/25/2017,77.2
4/26/2017,77.55
4/27/2017,77.45
4/28/2017,76.65
5/2/2017,77.2
5/3/2017,77.5
5/4/2017,79.25
5/5/2017,80
5/8/2017,80.45
5/9/2017,80.95
5/10/2017,80.7
5/11/2017,80.75
5/12/2017,81.4
5/15/2017,81.3
5/16/2017,82.3
5/17/2017,81.7
5/18/2017,81.05
5/19/2017,82.35
5/22/2017,83.4
5/23/2017,82.65
5/24/2017,82.15
5/26/2017,82.85
5/29/2017,82.4
5/30/2017,82.35
5/31/2017,82.65
6/1/2017,82.8
6/2/2017,82.95
6/6/2017,83.4
6/7/2017,82.8
6/8/2017,80.95
6/9/2017,80.95
6/12/2017,80.55
6/13/2017,80.75
6/14/2017,80.65
6/15/2017,81
6/16/2017,83.45
6/19/2017,83.45
6/20/2017,84
6/21/2017,82.8
6/22/2017,82.25
6/23/2017,82.1
6/26/2017,85.65
6/27/2017,84.3
6/28/2017,85.4
6/29/2017,83.65
6/30/2017,83.45
7/3/2017,83.7
7/4/2017,83.05
7/5/2017,82.4
7/6/2017,82.25
7/7/2017,81.85
7/10/2017,82.9
7/11/2017,82.3
7/12/2017,83.7
7/13/2017,83.8
7/14/2017,84
7/17/2017,83.6
7/18/2017,83
7/19/2017,83.35
7/20/2017,83.4
7/21/2017,82.6
7/24/2017,81.85
7/25/2017,82.15
7/26/2017,82.35
7/27/2017,81.55
7/28/2017,81.7
7/31/2017,81.7
8/2/2017,82.25
8/3/2017,82.6
8/4/2017,83.25
8/7/2017,83.15
8/8/2017,83.25
8/9/2017,82.2
8/10/2017,81.65
8/11/2017,80.85
8/14/2017,82.4
8/15/2017,82.4
8/16/2017,81.85
8/17/2017,81.85
8/18/2017,80.85
8/21/2017,81.3
8/22/2017,81.95
8/23/2017,82.05
8/24/2017,81.45
8/25/2017,80.6
8/28/2017,80.35
8/29/2017,80.6
8/30/2017,80.95
8/31/2017,81.35
9/1/2017,81.15
9/4/2017,80.25
9/5/2017,80.95
9/6/2017,80.55
9/7/2017,80.85
9/8/2017,80.65
9/11/2017,81.4
9/12/2017,81.4
9/13/2017,81.2
9/14/2017,81.15
9/15/2017,80.95
9/18/2017,81.25
9/19/2017,81.4
9/20/2017,80.9
9/21/2017,80.7
9/22/2017,80.55
9/25/2017,81.1
9/26/2017,82.55
9/27/2017,81.55
9/28/2017,81.05
9/29/2017,81.1
10/2/2017,82.35
10/3/2017,83.3
10/4/2017,83.4
10/5/2017,83.1
10/6/2017,82.9
10/9/2017,83.4
10/10/2017,83.7
10/11/2017,83.6
10/12/2017,84.3
10/13/2017,84.85
10/16/2017,84.15
10/17/2017,83.9
10/18/2017,84.75
10/19/2017,83.9
10/20/2017,83.45
10/23/2017,82.75
10/24/2017,82.9
10/25/2017,81.55
10/26/2017,82.8
10/27/2017,82.65
10/30/2017,82.8
10/31/2017,83.9
11/1/2017,83.85
11/2/2017,83.8
11/3/2017,84.75
11/6/2017,84.3
11/7/2017,83.5
11/8/2017,84.25
11/9/2017,83.6
11/10/2017,83.45
11/13/2017,84.4
11/14/2017,83.95
11/15/2017,83.65
11/16/2017,83.95
11/17/2017,84.4
11/20/2017,84.75
11/21/2017,84.95
11/22/2017,84.25
11/23/2017,84.85
11/24/2017,85.2
11/27/2017,84.9
11/28/2017,86
11/29/2017,84.95
11/30/2017,84.25
12/1/2017,83.75
12/4/2017,84.4
12/5/2017,84.75
12/6/2017,85.8
12/7/2017,85.5
12/8/2017,85.35
12/11/2017,85
12/12/2017,85.5
12/13/2017,85.75
12/14/2017,85
12/15/2017,84.3
12/18/2017,84.2
12/19/2017,83.6
12/20/2017,82.65
12/21/2017,83.5
12/22/2017,83.6
12/27/2017,84.05
12/28/2017,83.9
12/29/2017,83.8
1/3/2018,83.38
1/4/2018,83.3
1/5/2018,83.74
1/8/2018,83.64
1/9/2018,84.4
1/10/2018,83.2
1/11/2018,82.4
1/12/2018,82.48
1/15/2018,82.9
1/16/2018,82.62
1/17/2018,82.92
1/18/2018,82.54
1/19/2018,82.28
1/22/2018,82.56
1/23/2018,83.14
1/24/2018,82.5
1/25/2018,80.86
1/26/2018,81
1/29/2018,80.34
1/30/2018,80.46
1/31/2018,80.42
2/1/2018,80.42
2/2/2018,79.42
2/5/2018,78.72
2/6/2018,76.9
2/7/2018,78.02
2/8/2018,76.1
2/9/2018,75.7
2/12/2018,76.94
2/13/2018,76.18
2/14/2018,77.32
2/15/2018,75.7
2/16/2018,75.74
2/19/2018,74.96
2/20/2018,75.2
2/21/2018,75.04
2/22/2018,75.6
2/23/2018,75.76
2/26/2018,76.52
2/27/2018,75.92
2/28/2018,75.28
3/1/2018,74.48
3/2/2018,73.5
3/5/2018,75.12
3/6/2018,74.76
3/7/2018,74.34
3/8/2018,75.64
3/9/2018,76.26
3/12/2018,76.5
3/13/2018,76.16
3/14/2018,76.26
3/15/2018,76.44
3/16/2018,76.5
3/19/2018,75.9
3/20/2018,75.8
3/21/2018,74.7
3/22/2018,74.1
3/23/2018,73.7
3/26/2018,73
3/27/2018,74
3/28/2018,75.58
3/29/2018,75.62
4/3/2018,74.38
4/4/2018,74.2
4/5/2018,75.62
4/6/2018,75.98
4/9/2018,76
4/10/2018,76.7
4/11/2018,76.5
4/12/2018,76.14
4/13/2018,76.5
4/16/2018,74.66
4/17/2018,75.34
4/18/2018,75.24
4/19/2018,75.4
4/20/2018,75.2
4/23/2018,74.94
4/24/2018,75.38
4/25/2018,75.24
4/26/2018,76.44
4/27/2018,76.68
4/30/2018,76.98
5/2/2018,76.38
5/3/2018,75.8
5/4/2018,76.36
5/7/2018,77.56
5/8/2018,76.8
5/9/2018,77.4
5/11/2018,77.6
5/14/2018,77.3
5/15/2018,76.98
5/16/2018,76.94
5/17/2018,77.18
5/18/2018,77.1
5/22/2018,76.04
5/23/2018,75.64
5/24/2018,76.06
5/25/2018,76.2
5/28/2018,76.8
5/29/2018,76.1
5/30/2018,75.26
5/31/2018,74.38
6/1/2018,75
6/4/2018,75.28
6/5/2018,74.6
6/6/2018,74.08
6/7/2018,73.7
6/8/2018,73.46
6/11/2018,74.2
6/12/2018,74.2
6/13/2018,74.8
6/14/2018,74.62
6/15/2018,74.66
6/18/2018,73.52
6/19/2018,73.84
6/20/2018,74.68
6/21/2018,73.72
6/22/2018,75.2
6/25/2018,74.82
6/26/2018,75.34
6/27/2018,75.66
6/28/2018,76.3
6/29/2018,76.9
7/2/2018,77.44
7/3/2018,78.98
7/4/2018,79.2
7/5/2018,79.2
7/6/2018,79.74
7/9/2018,79.56
7/10/2018,79.46
7/11/2018,79.36
7/12/2018,79.64
7/13/2018,79.88
7/16/2018,79.7
7/17/2018,79
7/18/2018,79.58
7/19/2018,80.16
7/20/2018,80.96
7/23/2018,80.64
7/24/2018,80.08
7/25/2018,79.9
7/26/2018,81.38
7/27/2018,81.36
7/30/2018,81.1
7/31/2018,80.7
8/2/2018,80.74
8/3/2018,81.4
8/6/2018,81.54
8/7/2018,81.94
8/8/2018,81.86
8/9/2018,81.74
8/10/2018,80.54
8/13/2018,80.64
8/14/2018,80.96
8/15/2018,80.98
8/16/2018,81.26
8/17/2018,81.48
8/20/2018,81.82
8/21/2018,81.84
8/22/2018,81.28
8/23/2018,81.44
8/24/2018,81.44
8/27/2018,81.5
8/28/2018,81.26
8/29/2018,81.5
8/30/2018,81.22
8/31/2018,81.38
9/3/2018,81.5
9/4/2018,80.5
9/5/2018,79.9
9/6/2018,79.96
9/7/2018,80.24
9/10/2018,81.2
9/11/2018,80.62
9/12/2018,81.24
9/13/2018,81.14
9/14/2018,81.28
9/17/2018,80.8
9/18/2018,80.18
9/19/2018,80
9/20/2018,80.76
9/21/2018,80.56
9/24/2018,79.76
9/25/2018,79.92
9/26/2018,80.8
9/27/2018,81.24
9/28/2018,81.82
10/1/2018,82.06
10/2/2018,82.14
10/3/2018,82.8
10/4/2018,81.62
10/5/2018,80.84
10/8/2018,80.84
10/9/2018,80.94
10/10/2018,80.74
10/11/2018,78.7
10/12/2018,78.78
10/15/2018,78.9
10/16/2018,80.04
10/17/2018,79.06
10/18/2018,79.58
10/19/2018,82.04
10/22/2018,83.02
10/23/2018,82.78
10/24/2018,83.24
10/25/2018,84.04
10/26/2018,83.8
10/29/2018,83.5
10/30/2018,84.32
10/31/2018,85.12
11/1/2018,85.08
11/2/2018,83.92
11/5/2018,84.42
11/6/2018,84.38
11/7/2018,84.5
11/8/2018,84.94
11/9/2018,85.4
11/12/2018,85.2
11/13/2018,84.92
11/14/2018,84.12
11/15/2018,83.98
11/16/2018,84.36
11/19/2018,83.3
11/20/2018,83.5
11/21/2018,84.08
11/22/2018,83.98
11/23/2018,84.64
11/26/2018,84.62
11/27/2018,84.64
11/28/2018,84.2
11/29/2018,85.2
11/30/2018,85.14
12/3/2018,85.2
12/4/2018,86
12/5/2018,84.9
12/6/2018,83.14
12/7/2018,84.8
12/10/2018,83.08
12/11/2018,84.64
12/12/2018,85.36
12/13/2018,84.74
12/14/2018,83.84
12/17/2018,82.88
12/18/2018,81.8
12/19/2018,81.88
12/20/2018,80.9
12/21/2018,81.38
12/27/2018,78.3
12/28/2018,79.8
1/3/2019,81.24
1/4/2019,82.3
1/7/2019,81.12
1/8/2019,81.5
1/9/2019,81.66
1/10/2019,83.04
1/11/2019,83.36
1/14/2019,83.06
1/15/2019,83.62
1/16/2019,83.12
1/17/2019,83.94
1/18/2019,84.4
1/21/2019,84.2
1/22/2019,84.3
1/23/2019,84.32
1/24/2019,84.74
1/25/2019,84.28
1/28/2019,84.46
1/29/2019,85.84
1/30/2019,86.84
1/31/2019,86.44
2/1/2019,86.38
2/4/2019,85.92
2/5/2019,87.4
2/6/2019,86.98
2/7/2019,86.3
2/8/2019,86.24
2/11/2019,86.64
2/12/2019,86.4
2/13/2019,86.68
2/14/2019,88.06
2/15/2019,89.1
2/18/2019,90.02
2/19/2019,89.5
2/20/2019,90.52
2/21/2019,91.74
2/22/2019,90.94
2/25/2019,91.08
2/26/2019,91.26
2/27/2019,90.12
2/28/2019,90.36
3/1/2019,90.8
3/4/2019,91.04
3/5/2019,91.5
3/6/2019,91.6
3/7/2019,92.8
3/8/2019,92.7
3/11/2019,92.9
3/12/2019,92.8
3/13/2019,93.46
3/14/2019,94.6
3/15/2019,93.72
3/18/2019,94.16
3/19/2019,94.6
3/20/2019,94.66
3/21/2019,95.44
3/22/2019,93.86
3/25/2019,94.06
3/26/2019,95.2
3/27/2019,95.3
3/28/2019,95.2
3/29/2019,94.9
4/1/2019,94.63
4/2/2019,94.81
4/3/2019,95.39
4/4/2019,95.28
4/5/2019,95.67
4/8/2019,95.72
4/9/2019,96.62
4/10/2019,97.12
4/11/2019,96.37
4/12/2019,95.53
4/15/2019,94.36
4/16/2019,94.9
4/17/2019,95.09
4/18/2019,95.85
4/23/2019,97.19
4/24/2019,97.16
4/25/2019,97.26
4/26/2019,97.52
4/29/2019,97.46
4/30/2019,98.05
